alg,i,D,A,j,diff,num_iter,elapsed_ticks
ds,1000000,1000000,999947,1000053,0,1,59
sp,1000000,1000000,999947,1000053,0,1,54
ds,1000000,1000000,999961,1000039,0,1,59
sp,1000000,1000000,999961,1000039,0,1,56
ds,1000000,1000000,1000077,999923,0,1,59
sp,1000000,1000000,1000077,999923,0,1,53
ds,1000000,1000000,1000082,999918,0,1,57
sp,1000000,1000000,1000082,999918,0,1,53
ds,1000000,1000000,1000034,999966,0,1,59
sp,1000000,1000000,1000034,999966,0,1,53
ds,1000000,1000000,1000041,999959,0,1,57
sp,1000000,1000000,1000041,999959,0,1,53
ds,1000000,1000000,999950,1000050,0,1,60
sp,1000000,1000000,999950,1000050,0,1,56
ds,1000000,1000000,1000062,999938,0,1,57
sp,1000000,1000000,1000062,999938,0,1,54
ds,1000000,1000000,999959,1000041,0,1,59
sp,1000000,1000000,999959,1000041,0,1,54
ds,1000000,1000000,999905,1000095,0,1,62
sp,1000000,1000000,999905,1000095,0,1,53
ds,1000000,1000000,999907,1000093,0,1,59
sp,1000000,1000000,999907,1000093,0,1,53
ds,1000000,1000000,1000036,999964,0,1,57
sp,1000000,1000000,1000036,999964,0,1,53
ds,1000000,1000000,1000004,999996,0,1,57
sp,1000000,1000000,1000004,999996,0,1,53
ds,1000000,1000000,999996,1000004,0,1,60
sp,1000000,1000000,999996,1000004,0,1,55
ds,1000000,1000000,1000018,999982,0,1,59
sp,1000000,1000000,1000018,999982,0,1,53
ds,1000000,1000000,999904,1000096,0,1,59
sp,1000000,1000000,999904,1000096,0,1,53
ds,1000000,1000000,1000052,999948,0,1,60
sp,1000000,1000000,1000052,999948,0,1,54
ds,1000000,1000000,999939,1000061,0,1,60
sp,1000000,1000000,999939,1000061,0,1,53
ds,1000000,1000000,1000059,999941,0,1,57
sp,1000000,1000000,1000059,999941,0,1,55
ds,1000000,1000000,999978,1000022,0,1,59
sp,1000000,1000000,999978,1000022,0,1,53
ds,1000000,1000000,1000007,999993,0,1,57
sp,1000000,1000000,1000007,999993,0,1,53
ds,1000000,1000000,1000072,999928,0,1,59
sp,1000000,1000000,1000072,999928,0,1,53
ds,1000000,1000000,1000088,999912,0,1,57
sp,1000000,1000000,1000088,999912,0,1,53
ds,1000000,1000000,999974,1000026,0,1,59
sp,1000000,1000000,999974,1000026,0,1,55
ds,1000000,1000000,999919,1000081,0,1,59
sp,1000000,1000000,999919,1000081,0,1,53
ds,1000000,1000000,1000046,999954,0,1,57
sp,1000000,1000000,1000046,999954,0,1,55
ds,1000000,1000000,999915,1000085,0,1,62
sp,1000000,1000000,999915,1000085,0,1,53
ds,1000000,1000000,999971,1000029,0,1,59
sp,1000000,1000000,999971,1000029,0,1,53
ds,1000000,1000000,999916,1000084,0,1,59
sp,1000000,1000000,999916,1000084,0,1,52
ds,1000000,1000000,1000020,999980,0,1,57
sp,1000000,1000000,1000020,999980,0,1,53
ds,1000000,1000000,1000012,999988,0,1,57
sp,1000000,1000000,1000012,999988,0,1,56
ds,1000000,1000000,999978,1000022,0,1,62
sp,1000000,1000000,999978,1000022,0,1,54
ds,1000000,1000000,999930,1000070,0,1,59
sp,1000000,1000000,999930,1000070,0,1,53
ds,1000000,1000000,1000036,999964,0,1,59
sp,1000000,1000000,1000036,999964,0,1,53
ds,1000000,1000000,1000074,999926,0,1,56
sp,1000000,1000000,1000074,999926,0,1,53
ds,1000000,1000000,999949,1000051,0,1,60
sp,1000000,1000000,999949,1000051,0,1,56
ds,1000000,1000000,999982,1000018,0,1,59
sp,1000000,1000000,999982,1000018,0,1,54
ds,1000000,1000000,1000040,999960,0,1,57
sp,1000000,1000000,1000040,999960,0,1,56
ds,1000000,1000000,999958,1000042,0,1,62
sp,1000000,1000000,999958,1000042,0,1,53
ds,1000000,1000000,999944,1000056,0,1,60
sp,1000000,1000000,999944,1000056,0,1,54
ds,1000000,1000000,1000051,999949,0,1,57
sp,1000000,1000000,1000051,999949,0,1,53
ds,1000000,1000000,1000089,999911,0,1,57
sp,1000000,1000000,1000089,999911,0,1,53
ds,1000000,1000000,999902,1000098,0,1,59
sp,1000000,1000000,999902,1000098,0,1,55
ds,1000000,1000000,999948,1000052,0,1,62
sp,1000000,1000000,999948,1000052,0,1,54
ds,1000000,1000000,1000062,999938,0,1,57
sp,1000000,1000000,1000062,999938,0,1,53
ds,1000000,1000000,999946,1000054,0,1,62
sp,1000000,1000000,999946,1000054,0,1,54
ds,1000000,1000000,999969,1000031,0,1,60
sp,1000000,1000000,999969,1000031,0,1,53
ds,1000000,1000000,999926,1000074,0,1,59
sp,1000000,1000000,999926,1000074,0,1,55
ds,1000000,1000000,1000072,999928,0,1,57
sp,1000000,1000000,1000072,999928,0,1,53
ds,1000000,1000000,1000061,999939,0,1,57
sp,1000000,1000000,1000061,999939,0,1,53
ds,1000000,1000000,999934,1000066,0,1,62
sp,1000000,1000000,999934,1000066,0,1,53
ds,1000000,1000000,1000066,999934,0,1,57
sp,1000000,1000000,1000066,999934,0,1,53
ds,1000000,1000000,1000012,999988,0,1,57
sp,1000000,1000000,1000012,999988,0,1,55
ds,1000000,1000000,999994,1000006,0,1,60
sp,1000000,1000000,999994,1000006,0,1,53
ds,1000000,1000000,1000038,999962,0,1,57
sp,1000000,1000000,1000038,999962,0,1,56
ds,1000000,1000000,1000093,999907,0,1,59
sp,1000000,1000000,1000093,999907,0,1,53
ds,1000000,1000000,999905,1000095,0,1,60
sp,1000000,1000000,999905,1000095,0,1,53
ds,1000000,1000000,1000013,999987,0,1,59
sp,1000000,1000000,1000013,999987,0,1,53
ds,1000000,1000000,999911,1000089,0,1,60
sp,1000000,1000000,999911,1000089,0,1,53
ds,1000000,1000000,999913,1000087,0,1,60
sp,1000000,1000000,999913,1000087,0,1,55
ds,1000000,1000000,1000067,999933,0,1,57
sp,1000000,1000000,1000067,999933,0,1,53
ds,1000000,1000000,999923,1000077,0,1,60
sp,1000000,1000000,999923,1000077,0,1,53
ds,1000000,1000000,1000100,999900,0,1,59
sp,1000000,1000000,1000100,999900,0,1,53
ds,1000000,1000000,1000084,999916,0,1,57
sp,1000000,1000000,1000084,999916,0,1,53
ds,1000000,1000000,999983,1000017,0,1,60
sp,1000000,1000000,999983,1000017,0,1,55
ds,1000000,1000000,1000013,999987,0,1,57
sp,1000000,1000000,1000013,999987,0,1,53
ds,1000000,1000000,999970,1000030,0,1,60
sp,1000000,1000000,999970,1000030,0,1,56
ds,1000000,1000000,999917,1000083,0,1,62
sp,1000000,1000000,999917,1000083,0,1,53
ds,1000000,1000000,999915,1000085,0,1,59
sp,1000000,1000000,999915,1000085,0,1,53
ds,1000000,1000000,999900,1000100,0,1,59
sp,1000000,1000000,999900,1000100,0,1,53
ds,1000000,1000000,999971,1000029,0,1,59
sp,1000000,1000000,999971,1000029,0,1,54
ds,1000000,1000000,1000023,999977,0,1,57
sp,1000000,1000000,1000023,999977,0,1,56
ds,1000000,1000000,1000021,999979,0,1,59
sp,1000000,1000000,1000021,999979,0,1,53
ds,1000000,1000000,1000059,999941,0,1,57
sp,1000000,1000000,1000059,999941,0,1,54
ds,1000000,1000000,999986,1000014,0,1,62
sp,1000000,1000000,999986,1000014,0,1,53
ds,1000000,1000000,999990,1000010,0,1,60
sp,1000000,1000000,999990,1000010,0,1,53
ds,1000000,1000000,999911,1000089,0,1,60
sp,1000000,1000000,999911,1000089,0,1,56
ds,1000000,1000000,999927,1000073,0,1,59
sp,1000000,1000000,999927,1000073,0,1,53
ds,1000000,1000000,1000007,999993,0,1,57
sp,1000000,1000000,1000007,999993,0,1,53
ds,1000000,1000000,999943,1000057,0,1,62
sp,1000000,1000000,999943,1000057,0,1,53
ds,1000000,1000000,1000097,999903,0,1,57
sp,1000000,1000000,1000097,999903,0,1,53
ds,1000000,1000000,1000015,999985,0,1,57
sp,1000000,1000000,1000015,999985,0,1,55
ds,1000000,1000000,999941,1000059,0,1,60
sp,1000000,1000000,999941,1000059,0,1,53
ds,1000000,1000000,1000097,999903,0,1,57
sp,1000000,1000000,1000097,999903,0,1,55
ds,1000000,1000000,999914,1000086,0,1,62
sp,1000000,1000000,999914,1000086,0,1,53
ds,1000000,1000000,999918,1000082,0,1,59
sp,1000000,1000000,999918,1000082,0,1,53
ds,1000000,1000000,1000064,999936,0,1,57
sp,1000000,1000000,1000064,999936,0,1,53
ds,1000000,1000000,1000064,999936,0,1,57
sp,1000000,1000000,1000064,999936,0,1,53
ds,1000000,1000000,999989,1000011,0,1,60
sp,1000000,1000000,999989,1000011,0,1,55
ds,1000000,1000000,999902,1000098,0,1,62
sp,1000000,1000000,999902,1000098,0,1,53
ds,1000000,1000000,999981,1000019,0,1,60
sp,1000000,1000000,999981,1000019,0,1,53
ds,1000000,1000000,999926,1000074,0,1,62
sp,1000000,1000000,999926,1000074,0,1,53
ds,1000000,1000000,1000062,999938,0,1,57
sp,1000000,1000000,1000062,999938,0,1,54
ds,1000000,1000000,1000075,999925,0,1,57
sp,1000000,1000000,1000075,999925,0,1,56
ds,1000000,1000000,1000040,999960,0,1,57
sp,1000000,1000000,1000040,999960,0,1,53
ds,1000000,1000000,1000090,999910,0,1,57
sp,1000000,1000000,1000090,999910,0,1,55
ds,1000000,1000000,999920,1000080,0,1,61
sp,1000000,1000000,999920,1000080,0,1,53
ds,1000000,1000000,999975,1000025,0,1,60
sp,1000000,1000000,999975,1000025,0,1,54
ds,1000000,1000000,999997,1000003,0,1,60
sp,1000000,1000000,999997,1000003,0,1,53
ds,1000000,1000000,999983,1000017,0,1,60
