event_number,i,ds,sp,diff
0,15395,15348,15348,0
1,661112,659099,659099,0
2,2077253,2070929,2070929,0
3,2499260,2491651,2491651,0
4,3044939,3035669,3035669,0
5,3302320,3292266,3292266,0
6,4290852,4277789,4277789,0
7,4502344,4488637,4488637,0
8,4662287,4648093,4648093,0
9,5335161,5318918,5318918,0
10,6313050,6293830,6293830,0
11,6542488,6522570,6522570,0
12,7496749,7473925,7473926,-1
13,8017455,7993046,7993046,0
14,11764117,11728301,11728302,-1
15,11880447,11844277,11844278,-1
16,16423329,16373329,16373328,1
17,17053661,17001742,17001740,2
18,17884417,17829968,17829968,0
19,18076992,18021957,18021956,1
20,19578417,19518811,19518810,1
21,19830423,19770050,19770050,0
22,20326969,20265084,20265082,2
23,20358398,20296417,20296418,-1
24,20851281,20787800,20787798,2
25,24898179,24822377,24822378,-1
26,29449862,29360203,29360202,1
27,31063839,30969266,30969268,-2
28,31071261,30976665,30976666,-1
29,34399859,34295129,34295128,1
30,36818180,36706088,36706088,0
31,38560412,38443016,38443016,0
32,38796346,38678232,38678232,0
33,38923385,38804884,38804880,4
34,39558564,39438129,39438132,-3
35,42120118,41991884,41991884,0
36,43141961,43010616,43010616,0
37,44719790,44583642,44583644,-2
38,45035630,44898520,44898520,0
39,45914129,45774345,45774344,1
40,47376004,47231769,47231768,1
41,49435381,49284876,49284876,0
42,51381093,51224665,51224664,1
43,51696454,51539065,51539068,-3
44,54137107,53972288,53972288,0
45,54428231,54262526,54262528,-2
46,56342395,56170862,56170864,-2
47,57301591,57127138,57127136,2
48,57547574,57372372,57372372,0
49,58599228,58420824,58420824,0
50,59464525,59283487,59283484,3
51,63228166,63035669,63035668,1
52,63281582,63088923,63088924,-1
53,63496531,63303217,63303220,-3
54,68329408,68121381,68121376,5
55,70439537,70225086,70225080,6
56,70635060,70420013,70420008,5
57,70945519,70729527,70729528,-1
58,71863159,71644373,71644368,5
59,72068048,71848639,71848640,-1
60,72533116,72312291,72312296,-5
61,72596140,72375123,72375128,-5
62,74067346,73841850,73841848,2
63,74167254,73941454,73941456,-2
64,80334113,80089538,80089536,2
65,83326950,83073263,83073264,-1
66,85165700,84906415,84906408,7
67,86916063,86651449,86651448,1
68,87460524,87194253,87194256,-3
69,88803931,88533570,88533568,2
70,90497860,90222342,90222344,-2
71,91274771,90996887,90996880,7
72,91353047,91074925,91074928,-3
73,92517506,92235839,92235840,-1
74,92986072,92702978,92702976,2
75,94101023,93814535,93814536,-1
76,94748973,94460512,94460512,0
77,98349388,98049966,98049968,-2
78,98618443,98318202,98318200,2
79,100350542,100045027,100045024,3
80,101769251,101459417,101459416,1
81,102732377,102419611,102419608,3
82,102834187,102521111,102521112,-1
83,103050285,102736551,102736552,-1
84,107089947,106763914,106763912,2
85,107402752,107075767,107075768,-1
86,107616854,107289217,107289216,1
87,108021592,107692723,107692720,3
88,108934081,108602434,108602432,2
89,109802743,109468451,109468448,3
90,109810019,109475705,109475704,1
91,109817121,109482786,109482784,2
92,110629302,110292494,110292496,-2
93,110873875,110536322,110536320,2
94,111981026,111640103,111640104,-1
95,113874896,113528207,113528208,-1
96,113997188,113650126,113650120,6
97,114830887,114481287,114481288,-1
98,115449273,115097791,115097792,-1
99,117297149,116940041,116940040,1
