event_number,elapsed_ticks
0,15348
1,659088
2,2070894
3,2491606
4,3035613
5,3292205
6,4277707
7,4488551
8,4648004
9,5318815
10,6293706
11,6522441
12,7473776
13,7992885
14,11728058
15,11844031
16,16372980
17,17001379
18,17829587
19,18021572
20,19518391
21,19769624
22,20264647
23,20295980
24,20787351
25,24821835
26,29359556
27,30968582
28,30975981
29,34294367
30,36705268
31,38442154
32,38677365
33,38804013
34,39437244
35,41990938
36,43009646
37,44582635
38,44897506
39,45773309
40,47230700
41,49283757
42,51223501
43,51537893
44,53971059
45,54261289
46,56169582
47,57125834
48,57371062
49,58419489
50,59282131
51,63034225
52,63087476
53,63301766
54,68119814
55,70223470
56,70418392
57,70727898
58,71642723
59,71846983
60,72310624
61,72373455
62,73840147
63,73939748
64,80087686
65,83071339
66,84904447
67,86649440
68,87192230
69,88531516
70,90220247
71,90994774
72,91072810
73,92233696
74,92700824
75,93812354
76,94458316
77,98047684
78,98315914
79,100042699
80,101457056
81,102417227
82,102518725
83,102734161
84,106761429
85,107073274
86,107286719
87,107690215
88,108599904
89,109465902
90,109473155
91,109480236
92,110289925
93,110533747
94,111637502
95,113525559
96,113647478
97,114478619
98,115095108
99,116937315
